input,expected
"{""model"": ""gpt-4o"", ""question_id"": 67, ""question"": ""What is serverless?"", ""answer"": ""Serverless runs code without server management"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is serverless?""}, {""role"": ""human"", ""content"": ""Serverless means no servers needed""}], ""guidance_amount"": 0, ""next"": []}",Conceptually correct
"{""model"": ""o3-mini"", ""question_id"": 68, ""question"": ""Explain WebSockets"", ""answer"": ""WebSockets enable real-time bidirectional communication"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain WebSockets""}, {""role"": ""human"", ""content"": ""WebSockets are for live chat features""}], ""guidance_amount"": 0, ""next"": []}",Application-focused understanding
"{""model"": ""gpt-4o"", ""question_id"": 69, ""question"": ""What is blockchain?"", ""answer"": ""Blockchain is distributed immutable ledger"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is blockchain?""}, {""role"": ""human"", ""content"": ""Blockchain is for cryptocurrency""}], ""guidance_amount"": 0, ""next"": []}",Limited understanding
"{""model"": ""o3-mini"", ""question_id"": 70, ""question"": ""Explain design patterns"", ""answer"": ""Design patterns solve common coding problems"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain design patterns""}, {""role"": ""human"", ""content"": ""Design patterns make code reusable""}], ""guidance_amount"": 0, ""next"": []}",Basic grasp
"{""model"": ""gpt-4o"", ""question_id"": 71, ""question"": ""What is Kubernetes?"", ""answer"": ""Kubernetes orchestrates containers across clusters"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is Kubernetes?""}, {""role"": ""human"", ""content"": ""Kubernetes manages Docker containers in production""}], ""guidance_amount"": 0, ""next"": []}",Good basic understanding
"{""model"": ""o3-mini"", ""question_id"": 72, ""question"": ""Explain NoSQL databases"", ""answer"": ""NoSQL stores data in flexible non-relational formats"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain NoSQL databases""}, {""role"": ""human"", ""content"": ""NoSQL databases don't use tables like SQL""}], ""guidance_amount"": 0, ""next"": []}",Partially correct
"{""model"": ""gpt-4o"", ""question_id"": 73, ""question"": ""What is CI/CD?"", ""answer"": ""CI/CD automates integration and deployment"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is CI/CD?""}, {""role"": ""human"", ""content"": ""CI/CD makes deployments faster""}], ""guidance_amount"": 0, ""next"": []}",Basic understanding
"{""model"": ""o3-mini"", ""question_id"": 74, ""question"": ""Explain OAuth 2.0"", ""answer"": ""OAuth allows secure API access without passwords"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain OAuth 2.0""}, {""role"": ""human"", ""content"": ""OAuth is for login security""}], ""guidance_amount"": 0, ""next"": []}",Oversimplified
"{""model"": ""gpt-4o"", ""question_id"": 75, ""question"": ""What is GraphQL?"", ""answer"": ""GraphQL lets clients specify exact data needed"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is GraphQL?""}, {""role"": ""human"", ""content"": ""GraphQL is better than REST API""}], ""guidance_amount"": 0, ""next"": []}",Missing technical details
"{""model"": ""o3-mini"", ""question_id"": 76, ""question"": ""Explain Redis"", ""answer"": ""Redis is fast in-memory data store"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain Redis""}, {""role"": ""human"", ""content"": ""Redis is a caching system""}], ""guidance_amount"": 0, ""next"": []}",Correct but incomplete
"{""model"": ""gpt-4o"", ""question_id"": 77, ""question"": ""What is serverless?"", ""answer"": ""Serverless runs code without server management"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is serverless?""}, {""role"": ""human"", ""content"": ""Serverless means no servers needed""}], ""guidance_amount"": 0, ""next"": []}",Conceptually correct
"{""model"": ""o3-mini"", ""question_id"": 78, ""question"": ""Explain WebSockets"", ""answer"": ""WebSockets enable real-time bidirectional communication"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain WebSockets""}, {""role"": ""human"", ""content"": ""WebSockets are for live chat features""}], ""guidance_amount"": 0, ""next"": []}",Application-focused understanding
"{""model"": ""gpt-4o"", ""question_id"": 79, ""question"": ""What is blockchain?"", ""answer"": ""Blockchain is distributed immutable ledger"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is blockchain?""}, {""role"": ""human"", ""content"": ""Blockchain is for cryptocurrency""}], ""guidance_amount"": 0, ""next"": []}",Limited understanding
"{""model"": ""o3-mini"", ""question_id"": 80, ""question"": ""Explain design patterns"", ""answer"": ""Design patterns solve common coding problems"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain design patterns""}, {""role"": ""human"", ""content"": ""Design patterns make code reusable""}], ""guidance_amount"": 0, ""next"": []}",Basic grasp
"{""model"": ""gpt-4o"", ""question_id"": 81, ""question"": ""What is Kubernetes?"", ""answer"": ""Kubernetes orchestrates containers across clusters"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is Kubernetes?""}, {""role"": ""human"", ""content"": ""Kubernetes manages Docker containers in production""}], ""guidance_amount"": 0, ""next"": []}",Good basic understanding
"{""model"": ""o3-mini"", ""question_id"": 82, ""question"": ""Explain NoSQL databases"", ""answer"": ""NoSQL stores data in flexible non-relational formats"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain NoSQL databases""}, {""role"": ""human"", ""content"": ""NoSQL databases don't use tables like SQL""}], ""guidance_amount"": 0, ""next"": []}",Partially correct
"{""model"": ""gpt-4o"", ""question_id"": 83, ""question"": ""What is CI/CD?"", ""answer"": ""CI/CD automates integration and deployment"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is CI/CD?""}, {""role"": ""human"", ""content"": ""CI/CD makes deployments faster""}], ""guidance_amount"": 0, ""next"": []}",Basic understanding
"{""model"": ""o3-mini"", ""question_id"": 84, ""question"": ""Explain OAuth 2.0"", ""answer"": ""OAuth allows secure API access without passwords"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain OAuth 2.0""}, {""role"": ""human"", ""content"": ""OAuth is for login security""}], ""guidance_amount"": 0, ""next"": []}",Oversimplified
"{""model"": ""gpt-4o"", ""question_id"": 85, ""question"": ""What is GraphQL?"", ""answer"": ""GraphQL lets clients specify exact data needed"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is GraphQL?""}, {""role"": ""human"", ""content"": ""GraphQL is better than REST API""}], ""guidance_amount"": 0, ""next"": []}",Missing technical details
"{""model"": ""o3-mini"", ""question_id"": 86, ""question"": ""Explain Redis"", ""answer"": ""Redis is fast in-memory data store"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain Redis""}, {""role"": ""human"", ""content"": ""Redis is a caching system""}], ""guidance_amount"": 0, ""next"": []}",Correct but incomplete
"{""model"": ""gpt-4o"", ""question_id"": 87, ""question"": ""What is serverless?"", ""answer"": ""Serverless runs code without server management"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is serverless?""}, {""role"": ""human"", ""content"": ""Serverless means no servers needed""}], ""guidance_amount"": 0, ""next"": []}",Conceptually correct
"{""model"": ""o3-mini"", ""question_id"": 88, ""question"": ""Explain WebSockets"", ""answer"": ""WebSockets enable real-time bidirectional communication"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain WebSockets""}, {""role"": ""human"", ""content"": ""WebSockets are for live chat features""}], ""guidance_amount"": 0, ""next"": []}",Application-focused understanding
"{""model"": ""gpt-4o"", ""question_id"": 89, ""question"": ""What is blockchain?"", ""answer"": ""Blockchain is distributed immutable ledger"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is blockchain?""}, {""role"": ""human"", ""content"": ""Blockchain is for cryptocurrency""}], ""guidance_amount"": 0, ""next"": []}",Limited understanding
"{""model"": ""o3-mini"", ""question_id"": 90, ""question"": ""Explain design patterns"", ""answer"": ""Design patterns solve common coding problems"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain design patterns""}, {""role"": ""human"", ""content"": ""Design patterns make code reusable""}], ""guidance_amount"": 0, ""next"": []}",Basic grasp
"{""model"": ""gpt-4o"", ""question_id"": 91, ""question"": ""What is Kubernetes?"", ""answer"": ""Kubernetes orchestrates containers across clusters"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is Kubernetes?""}, {""role"": ""human"", ""content"": ""Kubernetes manages Docker containers in production""}], ""guidance_amount"": 0, ""next"": []}",Good basic understanding
"{""model"": ""o3-mini"", ""question_id"": 92, ""question"": ""Explain NoSQL databases"", ""answer"": ""NoSQL stores data in flexible non-relational formats"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain NoSQL databases""}, {""role"": ""human"", ""content"": ""NoSQL databases don't use tables like SQL""}], ""guidance_amount"": 0, ""next"": []}",Partially correct
"{""model"": ""gpt-4o"", ""question_id"": 93, ""question"": ""What is CI/CD?"", ""answer"": ""CI/CD automates integration and deployment"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is CI/CD?""}, {""role"": ""human"", ""content"": ""CI/CD makes deployments faster""}], ""guidance_amount"": 0, ""next"": []}",Basic understanding
"{""model"": ""o3-mini"", ""question_id"": 94, ""question"": ""Explain OAuth 2.0"", ""answer"": ""OAuth allows secure API access without passwords"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain OAuth 2.0""}, {""role"": ""human"", ""content"": ""OAuth is for login security""}], ""guidance_amount"": 0, ""next"": []}",Oversimplified
"{""model"": ""gpt-4o"", ""question_id"": 95, ""question"": ""What is GraphQL?"", ""answer"": ""GraphQL lets clients specify exact data needed"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is GraphQL?""}, {""role"": ""human"", ""content"": ""GraphQL is better than REST API""}], ""guidance_amount"": 0, ""next"": []}",Missing technical details
"{""model"": ""o3-mini"", ""question_id"": 96, ""question"": ""Explain Redis"", ""answer"": ""Redis is fast in-memory data store"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain Redis""}, {""role"": ""human"", ""content"": ""Redis is a caching system""}], ""guidance_amount"": 0, ""next"": []}",Correct but incomplete
"{""model"": ""gpt-4o"", ""question_id"": 97, ""question"": ""What is serverless?"", ""answer"": ""Serverless runs code without server management"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is serverless?""}, {""role"": ""human"", ""content"": ""Serverless means no servers needed""}], ""guidance_amount"": 0, ""next"": []}",Conceptually correct
"{""model"": ""o3-mini"", ""question_id"": 98, ""question"": ""Explain WebSockets"", ""answer"": ""WebSockets enable real-time bidirectional communication"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain WebSockets""}, {""role"": ""human"", ""content"": ""WebSockets are for live chat features""}], ""guidance_amount"": 0, ""next"": []}",Application-focused understanding
"{""model"": ""gpt-4o"", ""question_id"": 99, ""question"": ""What is blockchain?"", ""answer"": ""Blockchain is distributed immutable ledger"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is blockchain?""}, {""role"": ""human"", ""content"": ""Blockchain is for cryptocurrency""}], ""guidance_amount"": 0, ""next"": []}",Limited understanding
"{""model"": ""o3-mini"", ""question_id"": 100, ""question"": ""Explain design patterns"", ""answer"": ""Design patterns solve common coding problems"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain design patterns""}, {""role"": ""human"", ""content"": ""Design patterns make code reusable""}], ""guidance_amount"": 0, ""next"": []}",Basic grasp
"{""model"": ""gpt-4o"", ""question_id"": 101, ""question"": ""What is Kubernetes?"", ""answer"": ""Kubernetes orchestrates containers across clusters"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is Kubernetes?""}, {""role"": ""human"", ""content"": ""Kubernetes manages Docker containers in production""}], ""guidance_amount"": 0, ""next"": []}",Good basic understanding
"{""model"": ""o3-mini"", ""question_id"": 102, ""question"": ""Explain NoSQL databases"", ""answer"": ""NoSQL stores data in flexible non-relational formats"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain NoSQL databases""}, {""role"": ""human"", ""content"": ""NoSQL databases don't use tables like SQL""}], ""guidance_amount"": 0, ""next"": []}",Partially correct
"{""model"": ""gpt-4o"", ""question_id"": 103, ""question"": ""What is CI/CD?"", ""answer"": ""CI/CD automates integration and deployment"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is CI/CD?""}, {""role"": ""human"", ""content"": ""CI/CD makes deployments faster""}], ""guidance_amount"": 0, ""next"": []}",Basic understanding
"{""model"": ""o3-mini"", ""question_id"": 104, ""question"": ""Explain OAuth 2.0"", ""answer"": ""OAuth allows secure API access without passwords"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain OAuth 2.0""}, {""role"": ""human"", ""content"": ""OAuth is for login security""}], ""guidance_amount"": 0, ""next"": []}",Oversimplified
"{""model"": ""gpt-4o"", ""question_id"": 105, ""question"": ""What is GraphQL?"", ""answer"": ""GraphQL lets clients specify exact data needed"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is GraphQL?""}, {""role"": ""human"", ""content"": ""GraphQL is better than REST API""}], ""guidance_amount"": 0, ""next"": []}",Missing technical details
"{""model"": ""o3-mini"", ""question_id"": 106, ""question"": ""Explain Redis"", ""answer"": ""Redis is fast in-memory data store"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain Redis""}, {""role"": ""human"", ""content"": ""Redis is a caching system""}], ""guidance_amount"": 0, ""next"": []}",Correct but incomplete
"{""model"": ""gpt-4o"", ""question_id"": 107, ""question"": ""What is serverless?"", ""answer"": ""Serverless runs code without server management"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is serverless?""}, {""role"": ""human"", ""content"": ""Serverless means no servers needed""}], ""guidance_amount"": 0, ""next"": []}",Conceptually correct
"{""model"": ""o3-mini"", ""question_id"": 108, ""question"": ""Explain WebSockets"", ""answer"": ""WebSockets enable real-time bidirectional communication"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain WebSockets""}, {""role"": ""human"", ""content"": ""WebSockets are for live chat features""}], ""guidance_amount"": 0, ""next"": []}",Application-focused understanding
"{""model"": ""gpt-4o"", ""question_id"": 109, ""question"": ""What is blockchain?"", ""answer"": ""Blockchain is distributed immutable ledger"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is blockchain?""}, {""role"": ""human"", ""content"": ""Blockchain is for cryptocurrency""}], ""guidance_amount"": 0, ""next"": []}",Limited understanding
"{""model"": ""o3-mini"", ""question_id"": 110, ""question"": ""Explain design patterns"", ""answer"": ""Design patterns solve common coding problems"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain design patterns""}, {""role"": ""human"", ""content"": ""Design patterns make code reusable""}], ""guidance_amount"": 0, ""next"": []}",Basic grasp
"{""model"": ""gpt-4o"", ""question_id"": 111, ""question"": ""What is Kubernetes?"", ""answer"": ""Kubernetes orchestrates containers across clusters"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is Kubernetes?""}, {""role"": ""human"", ""content"": ""Kubernetes manages Docker containers in production""}], ""guidance_amount"": 0, ""next"": []}",Good basic understanding
"{""model"": ""o3-mini"", ""question_id"": 112, ""question"": ""Explain NoSQL databases"", ""answer"": ""NoSQL stores data in flexible non-relational formats"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain NoSQL databases""}, {""role"": ""human"", ""content"": ""NoSQL databases don't use tables like SQL""}], ""guidance_amount"": 0, ""next"": []}",Partially correct
"{""model"": ""gpt-4o"", ""question_id"": 113, ""question"": ""What is CI/CD?"", ""answer"": ""CI/CD automates integration and deployment"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is CI/CD?""}, {""role"": ""human"", ""content"": ""CI/CD makes deployments faster""}], ""guidance_amount"": 0, ""next"": []}",Basic understanding
"{""model"": ""o3-mini"", ""question_id"": 114, ""question"": ""Explain OAuth 2.0"", ""answer"": ""OAuth allows secure API access without passwords"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain OAuth 2.0""}, {""role"": ""human"", ""content"": ""OAuth is for login security""}], ""guidance_amount"": 0, ""next"": []}",Oversimplified
"{""model"": ""gpt-4o"", ""question_id"": 115, ""question"": ""What is GraphQL?"", ""answer"": ""GraphQL lets clients specify exact data needed"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is GraphQL?""}, {""role"": ""human"", ""content"": ""GraphQL is better than REST API""}], ""guidance_amount"": 0, ""next"": []}",Missing technical details
"{""model"": ""o3-mini"", ""question_id"": 116, ""question"": ""Explain Redis"", ""answer"": ""Redis is fast in-memory data store"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain Redis""}, {""role"": ""human"", ""content"": ""Redis is a caching system""}], ""guidance_amount"": 0, ""next"": []}",Correct but incomplete
"{""model"": ""gpt-4o"", ""question_id"": 117, ""question"": ""What is serverless?"", ""answer"": ""Serverless runs code without server management"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is serverless?""}, {""role"": ""human"", ""content"": ""Serverless means no servers needed""}], ""guidance_amount"": 0, ""next"": []}",Conceptually correct
"{""model"": ""o3-mini"", ""question_id"": 118, ""question"": ""Explain WebSockets"", ""answer"": ""WebSockets enable real-time bidirectional communication"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain WebSockets""}, {""role"": ""human"", ""content"": ""WebSockets are for live chat features""}], ""guidance_amount"": 0, ""next"": []}",Application-focused understanding
"{""model"": ""gpt-4o"", ""question_id"": 119, ""question"": ""What is blockchain?"", ""answer"": ""Blockchain is distributed immutable ledger"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is blockchain?""}, {""role"": ""human"", ""content"": ""Blockchain is for cryptocurrency""}], ""guidance_amount"": 0, ""next"": []}",Limited understanding
"{""model"": ""o3-mini"", ""question_id"": 120, ""question"": ""Explain design patterns"", ""answer"": ""Design patterns solve common coding problems"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain design patterns""}, {""role"": ""human"", ""content"": ""Design patterns make code reusable""}], ""guidance_amount"": 0, ""next"": []}",Basic grasp
"{""model"": ""gpt-4o"", ""question_id"": 121, ""question"": ""What is Kubernetes?"", ""answer"": ""Kubernetes orchestrates containers across clusters"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is Kubernetes?""}, {""role"": ""human"", ""content"": ""Kubernetes manages Docker containers in production""}], ""guidance_amount"": 0, ""next"": []}",Good basic understanding
"{""model"": ""o3-mini"", ""question_id"": 122, ""question"": ""Explain NoSQL databases"", ""answer"": ""NoSQL stores data in flexible non-relational formats"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain NoSQL databases""}, {""role"": ""human"", ""content"": ""NoSQL databases don't use tables like SQL""}], ""guidance_amount"": 0, ""next"": []}",Partially correct
"{""model"": ""gpt-4o"", ""question_id"": 123, ""question"": ""What is CI/CD?"", ""answer"": ""CI/CD automates integration and deployment"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is CI/CD?""}, {""role"": ""human"", ""content"": ""CI/CD makes deployments faster""}], ""guidance_amount"": 0, ""next"": []}",Basic understanding
"{""model"": ""o3-mini"", ""question_id"": 124, ""question"": ""Explain OAuth 2.0"", ""answer"": ""OAuth allows secure API access without passwords"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain OAuth 2.0""}, {""role"": ""human"", ""content"": ""OAuth is for login security""}], ""guidance_amount"": 0, ""next"": []}",Oversimplified
"{""model"": ""gpt-4o"", ""question_id"": 125, ""question"": ""What is GraphQL?"", ""answer"": ""GraphQL lets clients specify exact data needed"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is GraphQL?""}, {""role"": ""human"", ""content"": ""GraphQL is better than REST API""}], ""guidance_amount"": 0, ""next"": []}",Missing technical details
"{""model"": ""o3-mini"", ""question_id"": 126, ""question"": ""Explain Redis"", ""answer"": ""Redis is fast in-memory data store"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain Redis""}, {""role"": ""human"", ""content"": ""Redis is a caching system""}], ""guidance_amount"": 0, ""next"": []}",Correct but incomplete
"{""model"": ""gpt-4o"", ""question_id"": 127, ""question"": ""What is serverless?"", ""answer"": ""Serverless runs code without server management"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is serverless?""}, {""role"": ""human"", ""content"": ""Serverless means no servers needed""}], ""guidance_amount"": 0, ""next"": []}",Conceptually correct
"{""model"": ""o3-mini"", ""question_id"": 128, ""question"": ""Explain WebSockets"", ""answer"": ""WebSockets enable real-time bidirectional communication"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain WebSockets""}, {""role"": ""human"", ""content"": ""WebSockets are for live chat features""}], ""guidance_amount"": 0, ""next"": []}",Application-focused understanding
"{""model"": ""gpt-4o"", ""question_id"": 129, ""question"": ""What is blockchain?"", ""answer"": ""Blockchain is distributed immutable ledger"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is blockchain?""}, {""role"": ""human"", ""content"": ""Blockchain is for cryptocurrency""}], ""guidance_amount"": 0, ""next"": []}",Limited understanding
"{""model"": ""o3-mini"", ""question_id"": 130, ""question"": ""Explain design patterns"", ""answer"": ""Design patterns solve common coding problems"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain design patterns""}, {""role"": ""human"", ""content"": ""Design patterns make code reusable""}], ""guidance_amount"": 0, ""next"": []}",Basic grasp
"{""model"": ""gpt-4o"", ""question_id"": 131, ""question"": ""What is Kubernetes?"", ""answer"": ""Kubernetes orchestrates containers across clusters"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is Kubernetes?""}, {""role"": ""human"", ""content"": ""Kubernetes manages Docker containers in production""}], ""guidance_amount"": 0, ""next"": []}",Good basic understanding
"{""model"": ""o3-mini"", ""question_id"": 132, ""question"": ""Explain NoSQL databases"", ""answer"": ""NoSQL stores data in flexible non-relational formats"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain NoSQL databases""}, {""role"": ""human"", ""content"": ""NoSQL databases don't use tables like SQL""}], ""guidance_amount"": 0, ""next"": []}",Partially correct
"{""model"": ""gpt-4o"", ""question_id"": 133, ""question"": ""What is CI/CD?"", ""answer"": ""CI/CD automates integration and deployment"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is CI/CD?""}, {""role"": ""human"", ""content"": ""CI/CD makes deployments faster""}], ""guidance_amount"": 0, ""next"": []}",Basic understanding
"{""model"": ""o3-mini"", ""question_id"": 134, ""question"": ""Explain OAuth 2.0"", ""answer"": ""OAuth allows secure API access without passwords"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain OAuth 2.0""}, {""role"": ""human"", ""content"": ""OAuth is for login security""}], ""guidance_amount"": 0, ""next"": []}",Oversimplified
"{""model"": ""gpt-4o"", ""question_id"": 135, ""question"": ""What is GraphQL?"", ""answer"": ""GraphQL lets clients specify exact data needed"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is GraphQL?""}, {""role"": ""human"", ""content"": ""GraphQL is better than REST API""}], ""guidance_amount"": 0, ""next"": []}",Missing technical details
"{""model"": ""o3-mini"", ""question_id"": 136, ""question"": ""Explain Redis"", ""answer"": ""Redis is fast in-memory data store"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain Redis""}, {""role"": ""human"", ""content"": ""Redis is a caching system""}], ""guidance_amount"": 0, ""next"": []}",Correct but incomplete
"{""model"": ""gpt-4o"", ""question_id"": 137, ""question"": ""What is serverless?"", ""answer"": ""Serverless runs code without server management"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is serverless?""}, {""role"": ""human"", ""content"": ""Serverless means no servers needed""}], ""guidance_amount"": 0, ""next"": []}",Conceptually correct
"{""model"": ""o3-mini"", ""question_id"": 138, ""question"": ""Explain WebSockets"", ""answer"": ""WebSockets enable real-time bidirectional communication"", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain WebSockets""}, {""role"": ""human"", ""content"": ""WebSockets are for live chat features""}], ""guidance_amount"": 0, ""next"": []}",Application-focused understanding
